pmid,gene_id,gene_text,title,journal
21193345,831453,KIN1,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21193345,820667,NCED3,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21193345,829547,ABF3,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21193345,835306,RD29B,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21193345,832636,RD22,Constitutive expression of a peanut ubiquitin-conjugating enzyme gene in Arabidopsis confers improved water-stress tolerance through regulation of stress-responsive gene expression.,J Biosci Bioeng. 2011 Apr
21231936,821497,AtCPL5,"AtCPL5, a novel Ser-2-specific RNA polymerase II C-terminal domain phosphatase, positively regulates ABA and drought responses in Arabidopsis.",New Phytol. 2011 Apr
21231936,828254,CTD phosphatase-like 1,"AtCPL5, a novel Ser-2-specific RNA polymerase II C-terminal domain phosphatase, positively regulates ABA and drought responses in Arabidopsis.",New Phytol. 2011 Apr
21231936,827917,CPL3,"AtCPL5, a novel Ser-2-specific RNA polymerase II C-terminal domain phosphatase, positively regulates ABA and drought responses in Arabidopsis.",New Phytol. 2011 Apr
21252258,825277,calcium-dependent lipid-binding protein,Arabidopsis thaliana calcium-dependent lipid-binding protein (AtCLB): a novel repressor of abiotic stress response.,J Exp Bot. 2011 May
21252258,834852,thalianol synthase,Arabidopsis thaliana calcium-dependent lipid-binding protein (AtCLB): a novel repressor of abiotic stress response.,J Exp Bot. 2011 May
21257607,817876,3-ketoacyl-CoA thiolase-2,"Arabidopsis 3-ketoacyl-CoA thiolase-2 (KAT2), an enzyme of fatty acid beta-oxidation, is involved in ABA signal transduction.",Plant Cell Physiol. 2011 Mar
21257607,844423,WRKY40,"Arabidopsis 3-ketoacyl-CoA thiolase-2 (KAT2), an enzyme of fatty acid beta-oxidation, is involved in ABA signal transduction.",Plant Cell Physiol. 2011 Mar
21257607,831207,ABAR,"Arabidopsis 3-ketoacyl-CoA thiolase-2 (KAT2), an enzyme of fatty acid beta-oxidation, is involved in ABA signal transduction.",Plant Cell Physiol. 2011 Mar
21282323,816149,arginine decarboxylase,An arginine decarboxylase gene PtADC from Poncirus trifoliata confers abiotic stress tolerance and promotes primary root growth in Arabidopsis.,J Exp Bot. 2011 May
21293909,820443,SAP5,Arabidopsis SAP5 functions as a positive regulator of stress responses and exhibits E3 ubiquitin ligase activity.,Plant Mol Biol. 2011 Mar
21293909,819856,E3 ubiquitin ligase,Arabidopsis SAP5 functions as a positive regulator of stress responses and exhibits E3 ubiquitin ligase activity.,Plant Mol Biol. 2011 Mar
21304819,836519,fry1,A novel fry1 allele reveals the existence of a mutant phenotype unrelated to 5'->3' exoribonuclease (XRN) activities in Arabidopsis thaliana roots.,PLoS One. 2011 Feb 3
21304819,818479,Pi High affinity Transporter 1;4,A novel fry1 allele reveals the existence of a mutant phenotype unrelated to 5'->3' exoribonuclease (XRN) activities in Arabidopsis thaliana roots.,PLoS One. 2011 Feb 3
21304819,834355,PHT1;4,A novel fry1 allele reveals the existence of a mutant phenotype unrelated to 5'->3' exoribonuclease (XRN) activities in Arabidopsis thaliana roots.,PLoS One. 2011 Feb 3
21304819,834354,PHT1;4,A novel fry1 allele reveals the existence of a mutant phenotype unrelated to 5'->3' exoribonuclease (XRN) activities in Arabidopsis thaliana roots.,PLoS One. 2011 Feb 3
21304819,835527,AHL,A novel fry1 allele reveals the existence of a mutant phenotype unrelated to 5'->3' exoribonuclease (XRN) activities in Arabidopsis thaliana roots.,PLoS One. 2011 Feb 3
21340699,818219,HARDY,"Overexpression of HARDY, an AP2/ERF gene from Arabidopsis, improves drought and salt tolerance by reducing transpiration and sodium uptake in transgenic Trifolium alexandrinum L.",Planta. 2011 Jun
21340699,829845,AP2,"Overexpression of HARDY, an AP2/ERF gene from Arabidopsis, improves drought and salt tolerance by reducing transpiration and sodium uptake in transgenic Trifolium alexandrinum L.",Planta. 2011 Jun
21389632,841721,NAM,Improved drought and salt tolerance in transgenic Arabidopsis overexpressing a NAC transcriptional factor from Arachis hypogaea.,Biosci Biotechnol Biochem. 2011
21393844,829541,SnRK2.6,"SnRK2.6/OST1 from Arabidopsis thaliana: cloning, expression, purification, crystallization and preliminary X-ray analysis of K50N and D160A mutants.",Acta Crystallogr Sect F Struct Biol Cryst Commun. 2011 Mar 1
21398568,836367,MYB96,The MYB96 transcription factor regulates cuticular wax biosynthesis under drought conditions in Arabidopsis.,Plant Cell. 2011 Mar
21421412,837817,DDF1,"Overexpression of FTL1/DDF1, an AP2 transcription factor, enhances tolerance to cold, drought, and heat stresses in Arabidopsis thaliana.",Plant Sci. 2011 Apr
21459832,606325,TaNAC69,Overexpression of TaNAC69 leads to enhanced transcript levels of stress up-regulated genes and dehydration tolerance in bread wheat.,Mol Plant. 2011 Jul
21459832,837731,glyoxalase I,Overexpression of TaNAC69 leads to enhanced transcript levels of stress up-regulated genes and dehydration tolerance in bread wheat.,Mol Plant. 2011 Jul
21478367,814644,RHA2b,The Arabidopsis RING finger E3 ligase RHA2b acts additively with RHA2a in regulating abscisic acid signaling and drought response.,Plant Physiol. 2011 Jun
21478367,838073,RHA2a,The Arabidopsis RING finger E3 ligase RHA2b acts additively with RHA2a in regulating abscisic acid signaling and drought response.,Plant Physiol. 2011 Jun
21478367,835809,protein phosphatase 2C,The Arabidopsis RING finger E3 ligase RHA2b acts additively with RHA2a in regulating abscisic acid signaling and drought response.,Plant Physiol. 2011 Jun
21486303,828653,CBF1,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
21486303,835274,CBF4,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
21486303,818854,AtCOR15a,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
21486303,831454,AtCOR6.6,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
21486303,838632,AtCOR47,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
21486303,831615,AtRGL3,"Vitis CBF1 and Vitis CBF4 differ in their effect on Arabidopsis abiotic stress tolerance, development and gene expression.",Plant Cell Environ. 2011 Aug
